site,site.int,pass,pass.int,location,dominant,even,rare,loc.int,site.index,propPO,habitat,date2,date.int,tlbin
A,1,1,1,all,0,0,0,1,1,1,CO,1_1,1,0
A,1,1,1,all,0,0,0,1,1,1,CO,1_1,1,0
A,1,1,1,all,0,0,0,1,1,1,CO,1_1,1,0
A,1,1,1,all,0,0,0,1,1,1,CO,1_1,1,0
A,1,1,1,all,0,0,0,1,1,1,CO,1_1,1,0
A,1,1,1,all,0,0,0,1,1,1,CO,1_1,1,0
A,1,1,1,all,0,0,0,1,1,1,CO,1_1,1,0
A,1,1,1,all,0,0,0,1,1,1,CO,1_1,1,0
A,1,1,1,all,0,0,0,1,1,1,CO,1_1,1,0
A,1,1,1,all,0,0,0,1,1,1,CO,1_1,1,0
A,1,1,1,all,0,0,0,1,1,1,CO,1_1,1,0
A,1,1,1,all,0,0,0,1,1,1,CO,1_1,1,0
A,1,1,1,all,0,0,0,1,1,1,CO,1_1,1,0
A,1,1,1,all,0,0,0,1,1,1,CO,1_1,1,1
A,1,1,1,all,0,0,0,1,1,1,CO,1_1,1,1
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
A,1,7,6,all,0,0,0,1,1,1,CO,7_6,21,0
